image,pixels,threads,block_size,gpu_branch_ns,gpu_nobranch_ns,cpu_branch_ns,cpu_nobranch_ns
astronaut,262144,262144,256,10009,16581,931982,1153518
brick,262144,262144,256,9177,9037,883170,1084158
camera,262144,262144,256,8937,8807,628021,1157546
cat,135300,135424,256,8305,8456,326544,565383
checkerboard,40000,40192,256,7725,7645,73728,169890
chelsea,135300,135424,256,8286,8115,326063,562668
clock,120000,120064,256,8556,8476,244579,498186
coffee,240000,240128,256,8927,8977,575432,1037571
coins,116352,116480,256,8335,7914,281799,497005
colorwheel,137270,137472,256,8546,8576,265670,581874
grass,262144,262144,256,8857,8556,835781,1104887
gravel,262144,262144,256,8726,8807,744960,1107773
hubble_deep_field,872000,872192,256,16371,15149,1944956,3971345
immunohistochemistry,262144,262144,256,8917,8616,632119,1194064
logo,250000,250112,256,8836,8706,482737,1071153
moon,262144,262144,256,9207,9087,543161,1094036
page,73344,73472,256,7955,7665,184106,335310
retina,1990921,1991168,256,27381,27111,6432130,8304250
rocket,273280,273408,256,9287,8936,630004,1191209
shepp_logan_phantom,160000,160000,256,8947,8646,301427,691179
text,77056,77056,256,8306,8096,187582,324390
