n,block_size,host_ns,global_ns,register_ns,constant_ns,shared_ns
1024,64,259017,8777,17663,16791,16832
1024,128,259217,9157,22863,19156,17553
1024,256,259126,8826,23023,19587,17142
1024,512,259126,8956,22523,19176,16992
65536,64,17075332,10780,24386,19928,17783
65536,128,16495813,14988,33523,28404,23664
65536,256,16852694,10680,23745,19797,17403
65536,512,16841172,9828,23514,19487,17693
1048576,64,267078608,27161,34385,35307,32261
1048576,128,259937260,22903,32972,33913,28754
1048576,256,269474121,29335,39223,33994,30437
1048576,512,263487522,22873,33042,32211,30006
