-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls                                                                      Input Shapes  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us     181.462ms        52.37%     181.462ms      60.487ms           0 B           0 B           0 B           0 B             3                                                                                []  
                                          ProfilerStep*        34.67%     188.030ms        72.94%     395.621ms     131.874ms       0.000us         0.00%     134.534ms      44.845ms           0 B           0 B           0 B     -16.73 GB             3                                                                                []  
    autograd::engine::evaluate_function: AddmmBackward0         1.63%       8.838ms        12.22%      66.294ms     104.729us       0.000us         0.00%     131.329ms     207.470us           0 B           0 B      -4.50 GB     -13.97 GB           633                                                                                []  
                                 ampere_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us      74.539ms        21.51%      74.539ms     292.309us           0 B           0 B           0 B           0 B           255                                                                                []  
                                         AddmmBackward0         0.14%     748.662us         1.17%       6.333ms      63.969us       0.000us         0.00%      73.811ms     745.564us           0 B           0 B       4.86 GB           0 B            99                                                                    [[50176, 256]]  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x64_8...         0.00%       0.000us         0.00%       0.000us       0.000us      45.718ms        13.19%      45.718ms     401.033us           0 B           0 B           0 B           0 B           114                                                                                []  
                                           aten::linear         0.03%     163.376us         0.43%       2.309ms      34.987us       0.000us         0.00%      38.406ms     581.905us           0 B           0 B       3.22 GB           0 B            66                                                 [[50176, 256], [256, 256], [256]]  
                                            aten::addmm         0.25%       1.333ms         0.33%       1.781ms      26.988us      38.406ms        11.08%      38.406ms     581.905us           0 B           0 B       3.22 GB       3.22 GB            66                                         [[256], [50176, 256], [256, 256], [], []]  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us      31.128ms         8.98%      31.128ms     140.215us           0 B           0 B           0 B           0 B           222                                                                                []  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      24.559ms         7.09%      24.559ms      70.369us           0 B           0 B           0 B           0 B           349                                                                                []  
                                           aten::linear         0.02%      90.149us         0.23%       1.245ms      37.716us       0.000us         0.00%      21.416ms     648.964us           0 B           0 B       1.61 GB           0 B            33                                                 [[50176, 258], [256, 258], [256]]  
                                            aten::addmm         0.14%     734.539us         0.18%     976.512us      29.591us      21.416ms         6.18%      21.416ms     648.964us           0 B           0 B       1.61 GB       1.61 GB            33                                         [[256], [50176, 258], [258, 256], [], []]  
     autograd::engine::evaluate_function: ReluBackward0         0.25%       1.343ms         1.12%       6.060ms      20.000us       0.000us         0.00%      21.297ms      70.287us           0 B           0 B      -5.44 GB     -11.00 GB           303                                                                                []  
                                               aten::mm         0.19%       1.039ms         0.27%       1.485ms      22.505us      20.860ms         6.02%      20.860ms     316.065us           0 B           0 B       3.22 GB       3.22 GB            66                                                        [[50176, 256], [256, 256]]  
                                               aten::mm         0.15%     829.737us         0.26%       1.421ms      21.523us      20.759ms         5.99%      20.759ms     314.534us           0 B           0 B      16.50 MB      16.50 MB            66                                                      [[256, 50176], [50176, 256]]  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  
Self CPU time total: 542.388ms
Self CUDA time total: 346.486ms
